date,基准20日,多窗口融合,双动量,波动率加权,Frog-in-the-Pan
2022-10-21,858275.7416999999,858534.7925,778075.0864999996,900796.8812999998,858275.7416999999
2022-10-24,840410.2416999999,840662.2925000001,761881.8864999996,888909.4812999999,840410.2416999999
2022-10-25,830318.7416999999,830566.4925000002,752734.7864999995,883482.0812999998,830318.7416999999
2022-10-26,826238.7416999999,826485.4924999999,749037.0864999995,876984.6812999998,826238.7416999999
2022-10-27,830723.7416999999,830972.2925,753102.2864999995,880428.6812999999,830723.7416999999
2022-10-28,817984.8417,818226.6925,741554.8864999996,873933.0813,817984.8417
2022-10-31,797395.3417,797630.5925,722893.5864999996,852837.4812999999,797395.3417
2022-11-01,810338.7267499999,810578.4046,734625.0409499995,857294.82965,810338.7267499999
2022-11-02,821680.4267499999,818434.1046000002,744907.1409499996,861032.12965,821680.4267499999
2022-11-03,822562.32675,818864.3046000001,745706.2409499995,863592.32965,822562.32675
2022-11-04,837881.82675,830929.4046000001,759594.1409499994,869917.02965,837881.82675
2022-11-07,833590.32675,830216.0046000001,755703.8409499995,868545.12965,833590.3267499999
2022-11-08,825427.2267499999,822944.9046000001,748303.5409499995,866464.9296500001,825427.22675
2022-11-09,817212.1267499999,825431.3046000001,740856.0409499995,871097.0296499999,817212.1267499999
2022-11-10,808931.02675,817722.3046000001,733348.9409499995,864592.62965,808931.02675
2022-11-11,814370.82675,821889.2046,738280.7409499995,866597.02965,814370.82675
2022-11-14,821465.7267499999,826620.1046,744712.8409499994,863444.62965,821465.7267499999
2022-11-15,842086.1267499999,837105.5046000001,763406.8409499995,872374.5296499999,842086.1267499999
2022-11-16,836096.9267499999,833798.8046000001,757977.6409499994,868440.62965,836096.9267499999
2022-11-17,843074.2267499999,834684.0046000001,764303.3409499994,870958.7296499999,843074.22675
2022-11-18,839341.4267499999,835308.0046000001,760919.3409499995,867151.92965,839341.4267499999
2022-11-21,835990.82675,832017.8046,757881.5409499995,867278.42965,835990.82675
2022-11-22,821425.82675,821947.6046,744677.3409499994,862293.0296499999,821425.82675
2022-11-23,815309.4267499999,816626.4046,739132.1409499994,863310.82965,815309.4267499999
2022-11-24,812927.82675,818097.9046,736972.9409499995,863987.12965,812927.82675
2022-11-25,806353.82675,815162.7046,731013.3409499995,860349.0296499999,806353.82675
2022-11-28,796342.02675,808947.8046000001,721936.7409499995,858184.32965,796342.02675
2022-11-29,811647.42675,817100.5046000001,735812.5409499995,859260.5296499999,811647.42675
2022-11-30,806356.2267499999,812507.0046,731015.7409499994,857074.0296499999,806356.2267499999
2022-12-01,820058.2267499999,821882.4046000001,743437.7409499995,861606.5296500002,820058.2267499999
2022-12-02,818525.6267499999,821182.7046,742048.3409499995,863417.32965,818525.6267499998
2022-12-05,821723.02675,818825.6046,744947.3409499994,859566.2296499999,821723.02675
2022-12-06,823609.4267499999,815343.0046000001,746657.7409499995,855589.82965,823609.4267499999
2022-12-07,821657.02675,814585.8046000001,744887.7409499995,854621.92965,821657.02675
2022-12-08,816585.02675,814349.2046,740289.3409499995,855397.32965,816585.02675
2022-12-09,816983.52675,815341.8046,740650.6409499996,856205.32965,816983.52675
2022-12-12,825318.92675,817886.5046000001,748207.6409499994,857094.12965,825318.92675
2022-12-13,813887.52675,812643.2045999999,737844.2409499994,852128.4296499998,813887.52675
2022-12-14,812043.6267499999,813563.7046,736172.7409499995,854301.92965,812043.62675
2022-12-15,815434.4267499999,812038.3046000001,739246.7409499994,854098.42965,815434.4267499999
2022-12-16,807341.82675,808646.1046000001,731910.1409499994,849208.32965,807341.82675
2022-12-19,789515.82675,797511.6046,715749.7409499995,845241.3296500001,789515.82675
2022-12-20,780550.92675,792999.5046000001,707622.0409499995,844808.92965,780550.9267499999
2022-12-21,775063.9267499999,792995.1046,702647.8409499994,844035.22965,775063.9267499999
2022-12-22,777598.6267499999,795131.9046,704946.1409499994,841456.42965,777598.62675
2022-12-23,778454.52675,792851.0046000001,705722.4409499995,836662.9296500001,778454.52675
2022-12-26,788629.1267499999,800194.9046,714945.8409499995,844932.7296500001,788629.1267499999
2022-12-27,795948.59855,807024.6734000002,721581.2763999994,848495.7848499999,795948.6581999997
2022-12-28,791843.09855,805353.3734000002,717859.9763999995,847733.38485,793894.5581999999
2022-12-29,788720.3985499999,806150.0734000001,715029.3763999995,843327.7848499999,788731.6581999997
2022-12-30,791689.9985499999,810313.0734000001,717721.7763999994,846701.98485,792647.4581999998
2023-01-03,789362.39855,806057.1734000002,715612.9763999995,842906.58485,789972.4581999998
2023-01-04,787476.1985499999,808484.5734000001,713903.2763999994,844095.58485,790999.6581999997
2023-01-05,813705.4985499999,830199.8734000002,737680.5763999994,864136.58485,815459.8581999998
2023-01-06,817015.39855,825884.3734000002,740682.2763999995,864617.5848500002,817633.3581999998
2023-01-09,828837.59855,838599.2734000001,751398.8763999995,875375.58485,829560.0581999997
2023-01-10,832451.09855,842792.5734000001,754674.6763999995,874622.38485,829449.9581999998
2023-01-11,828738.9985499999,840635.9734000001,751309.7763999994,873698.58485,828861.7581999998
2023-01-12,828459.7985500001,836632.1734000002,751057.5763999996,872491.58485,828098.5581999999
2023-01-13,845670.8985499998,854219.8734000002,766660.3763999995,886582.38485,845823.3581999998
2023-01-16,860661.8985499999,871945.0734000001,780251.8763999995,896785.58485,860244.6581999997
2023-01-17,856920.39855,867560.0734000001,776860.7763999995,891830.78485,855283.1581999998
2023-01-18,852180.0985499999,861512.0734000002,772563.2763999995,886982.78485,850111.8581999998
2023-01-19,855878.09855,868013.6734000001,775916.6763999994,887535.38485,852631.0581999999
2023-01-20,857651.7985500001,867544.2734000002,777526.0763999994,888344.7848499999,854824.8581999998
2023-01-30,866008.5985499999,869648.2734000002,785100.7763999994,894045.58485,861939.8581999998
2023-01-31,851451.2985500001,851344.2734000002,771904.5763999994,881700.1848500001,847005.1581999998
2023-02-01,857646.29855,857269.5734000002,777521.0763999994,884711.5848500002,852010.7581999998
2023-02-02,858580.1985500001,863850.7734000001,778366.3763999995,887496.9848500001,853712.7581999998
2023-02-03,848929.4985499999,854815.1734,769616.0763999994,880270.78485,843674.0581999999
